Adipocytes,Astrocytes,B-cells,CD4+ T-cells,CD8+ T-cells,Chondrocytes,DC,Endothelial cells,Eosinophils,Epithelial cells,Erythrocytes,Fibroblasts,HSC,Keratinocytes,Macrophages,Melanocytes,Mesangial cells,Monocytes,Myocytes,Neurons,Neutrophils,NK cells,Pericytes,Skeletal muscle,Smooth muscle
PLVAP,SHROOM3,HLA-DQA2,AXIN2,TCF7,COL11A1,,PCDH1,PANX2,KRT8,GFI1B,SNAI2,RAB33A,PTHLH,VSIG4,KCNIP3,MMP7,LY86,GREM1,GRIA2,GLT1D1,CCDC65,E2F7,COX6A2,LAMA2
FMO2,NFASC,MZB1,ADTRP,PLXDC1,KCNE4,,MMRN1,ZFPM1,LAMB3,NUP62CL,PAPPA,CDCA7,PTPRZ1,MMP7,CYSLTR2,TUBB2B,LILRB1,PPP1R3C,GABRA1,ORM1,PVRIG,ITGA11,HRC,GREM1
ADH1B,CRLF1,TTC21A,RASGRP1,CRTAM,SFRP4,,C1orf115,TRPM6,CELSR1,GAD1,PDGFRB,ACSM3,HAS3,ADAP2,RIPK4,CPNE7,OLR1,IGF2,KCNJ3,FAM157B,SH2D2A,,FAM166B,ADAMTS2
PLIN4,HS3ST3A1,P2RX5,LEF1,CD96,NFASC,,ANKRD1,CEBPE,SDC1,PRG2,COL3A1,ERG,CSF2,MRC1,CDH3,RAB3B,TMEM176A,DMD,MT3,NSUN7,CAPN12,,PRKAG3,SFRP1
RAMP3,SEZ6L2,SLAMF6,ANO9,PLCXD2,SGCD,,PGF,IL9R,LIPG,HBG2,ELN,HOPX,C1orf116,C15orf48,LINC00520,MMP23B,CCL4,DAAM2,GRIN1,PROK2,CD247,,ART3,CRLF1
C7,MN1,SNORA11D,CCDC141,RASGRP1,VCAM1,,EDN1,DEFA4,STAP2,ANKRD18B,PDZRN3,ZP3,KLK8,JAKMIP2,GYG2,KIAA1522,PPBP,SLC1A1,GPR37L1,F5,COLQ,,MYOT,FAP
KLF15,GALNT5,SNORA11E,SAMD3,KCNA3,CMKLR1,,NRN1,P2RY14,PLEK2,TRIM58,FBLN1,CYTL1,PKP3,APOC1,MCF2L,DNM1,OSM,H19,SLC6A1,FPR2,PYHIN1,,ATP2A1,PCOLCE2
WISP2,ITGA11,PKHD1L1,FLT3LG,BACH2,BVES,,PODXL,POLR2J2,HES4,APOL4,COL1A1,ICAM4,ELMO3,MATK,FMN1,CCDC74A,LILRB4,PDLIM3,ASTN1,FUT7,SAMD3,,MYL1,PRRX1
ATP1A2,ADAMTS12,CD72,CD96,GPRASP1,ITGA11,,TSPAN12,HSPA1L,PPL,ANK1,ADH1B,CD79B,KRT16,SLC29A3,COL11A1,GFRA1,F13A1,CXCL6,FABP6,P2RY13,CD7,,SLN,CD248
TIMP4,FZD7,IRF4,TXK,GRAP2,GPR1,,ABCA3,OXER1,SPTBN2,HEMGN,DCN,NFE2,ANO1,TMEM176A,S100B,PMEPA1,IL15,PAMR1,SEZ6L,NTNG2,B3GNT7,,LMOD3,CREB3L1
MT1M,LRRC17,ZBP1,SKAP1,1-Sep,MYBL1,,PLEKHG1,CCL23,CARD10,HMGN5,THBS2,NPR3,RAB25,ST14,SGCD,FHOD3,LILRA5,ABI3BP,SYT2,PLIN5,CLIC3,,BEST3,LUM
NOVA1,SLC14A1,LY9,VIPR1,LY9,NRN1,,PDGFB,C19orf35,RHOD,EPCAM,B3GNT9,CD200,TAGLN3,GPAT2,LINC00511,CHRDL1,1-Mar,ELN,GRID2,APOBEC3A,SLFN12L,,TRIM72,IGFBP5
APOD,RARB,SLC15A2,ZC3H12D,SKAP1,ABI3BP,,FAM69B,ANKRD18A,SEMA3F,XRCC2,WNT5A,HBG2,FAM83B,HAVCR2,LAMA1,VWA1,MAFB,ITGA11,SLC24A2,HCAR2,NCAM1,,MYOM3,ADAMTSL1
GPC3,MMP11,PLD4,RNF157,CCR7,COL15A1,,PALMD,TRPC6,SPINT1,TEX9,LAMA2,BCL11A,PCSK9,CD163,GPM6B,FZD2,RETN,RGS4,RIIAD1,DEFA3,IKZF3,,SRPK3,MOXD1
